Code,lon,lat
NFLD,-52.690891,47.594769
ADMONT,14.460605,47.576508
NFM,-52.711124,47.566784
RENZ,7.58098,47.55825
DE,21.621947,47.556075
BAS,7.57155,47.5272
BASBG,7.57155,47.5272
MMH,6.797638,47.509972
EWU,-117.584705,47.491412
GFC,-111.269891,47.490394
INH,-0.60602,47.478619
BP,19.099058,47.476372
ANGUC,-0.54865,47.464668
ANG,-0.5386,47.442299
NMSG,9.409471,47.439611
MMGMK,19.083205,47.414889
BREG,9.7375,47.40971
MRGT,18.991592,47.406824
ZT,8.547752,47.37632
Z,8.5585,47.358688
ZSS,8.53565,47.35696
TOU,0.70287,47.353882
QTC,123.954453,47.35247
MJSD,5.02684,47.320099
DI,5.072626,47.31254
IBF,11.515067,47.286654
PSM,-122.4828944,47.26365
IB,11.383751,47.263299
RV,39.813118,47.257221
UMFK,-68.590004,47.250301
SAMU,16.621735,47.233009
BESA,6.031473,47.232004
RWBG,39.658131,47.22892
NTM,-1.56559,47.212009
IASI,27.54846,47.197769
LI,14.693395,47.189198
IBIR,27.587116,47.174446
I,27.599991,47.16666
IAGB,27.599991,47.16666
PLU,-122.442186,47.146995
IRP,-88.564552,47.122532
MCTC,-88.554665,47.119358
MCT,-88.545309,47.115688
HKGL,9.06639,47.110378
GJO,15.41516,47.103473
GZU,15.459499,47.081249
BOUM,2.393271,47.077854
EVE,-122.977038,47.072335
UOP,21.9338,47.0643
NMLU,8.301525,47.051216
OSMC,-122.816464,47.040222
CHIS,28.841611,47.02661
CHISA,28.8575,47.0056
NEU,6.948589,46.999512
ELRG,-120.562752,46.988022
MRC,-113.965012,46.97171
SAKH,142.731979,46.961262
AUT,4.301869,46.94796
YALT,37.263371,46.943138
NPWRC,-98.7146,46.9137
MONTU,-113.935272,46.87611
MRD,-96.757077,46.867041
CCMH,-96.7709684,46.8647833
CHUR,9.53451,46.853619
NDA,-96.79821,46.85323
JMSMC,130.35,46.8333
DUL,-92.060852,46.815605
QFB,-71.227539,46.806557
QFBE,-71.227539,46.806557
NHMF,7.157408,46.793446
QUE,-71.3076,46.792
QFA,-71.2736,46.77743
SCFQ,-71.291321,46.768894
CLA,23.589296,46.76506
CL,23.596014,46.762585
KBM,17.242043,46.759025
GK,17.237515,46.749253
WS,-117.154102,46.729516
ID,-117.00827,46.72784
WSP,-117.165642,46.727737
IDF,-117.002846,46.724262
BXPM,11.657244,46.717705
SUWS,-92.062668,46.713123
KHER,32.629518,46.646063
KL,14.292633,46.627571
MSV,13.84445,46.613392
DQTC,125,46.5833
MAB,3.330333,46.567492
NM,-87.396362,46.555103
LAU,6.622906,46.513292
SSMF,-84.303459,46.504429
BOZ,11.365979,46.498625
SLU,-80.982727,46.46748
HCH,-117.011192,46.410313
NEZ,-116.802,46.39385
UQTR,-72.539841,46.342609
SZE,20.077089,46.292938
AGU,47.9620492,46.2722241
BNFH,-114.158153,46.270437
UPEI,-63.142052,46.25679
SION,7.36307,46.22864
G,6.146478,46.227467
LR,-1.15158,46.164669
HMSNMO,9.567725,46.131093
DOMO,8.28985,46.112919
JAY,6.719802,46.085812
JPU,18.205261,46.075825
WCW,-118.356407,46.074879
AMB,11.112647,46.06493
TR,11.11482,46.06276
MFU,13.232719,46.05933
LJF,14.4799376,46.0525203
LJU,14.46788,46.048477
LJS,14.504656,46.047449
PECS,18.244225,46.02486
LUG,8.960558,46.004162
LJM,14.47855,46.001171
UNB,-66.64058,45.947085
ROV,11.04105,45.8899
EPF,4.67377,45.880297
LIMO,1.283072,45.84735
DEND,16.029316,45.831661
ZAGR,16.0295033,45.8316251
ADRZ,16.122107,45.824074
CNF,15.93871,45.81966
CNHM,15.971672,45.816437
ZA,15.97222,45.815071
ZAHO,15.97222,45.815071
HRNDC,15.9672,45.8092
MSUB,-108.521812,45.794781
SIB,24.137083,45.785648
LY,4.863628,45.777885
MHLCLF,3.088447,45.774169
CLF,3.088735,45.773655
LYJB,4.833131,45.773257
SLL,4.84531,45.767361
BASSA,11.736091,45.766243
HANU,126.65,45.75
HLNM,126.65,45.75
HNR,126.650002,45.75
CCEC,4.84009,45.748112
HFBG,126.652008,45.739349
HLCM,126.652008,45.739349
NEFI,126.652008,45.739349
AO,7.210137,45.713905
BER,9.65921,45.705898
MONT,-111.043282,45.660259
TSB,13.79445,45.659908
TSM,13.800456,45.64008
BVS,25.58333,45.633331
STFX,-61.984901,45.61417
CSB,-94.39481,45.580121
CHBY,5.912627,45.566727
SCL,-94.154877,45.559643
MT,-73.558103,45.558294
CMMF,-73.5562,45.5579
UMBS,-84.781677,45.553329
HBBS,10.22794,45.553108
MNAV,11.547639,45.549477
HAH,-122.7154827,45.5159104
HPSU,-122.686145,45.513104
APM,-78.2333,45.5
REED,-122.630486,45.479176
MIPV,9.22642,45.476891
MI,9.224281,45.476875
MSNM,9.202101,45.471531
NSU,-98.483775,45.450615
LC,-122.670181,45.450168
CAN,-75.811462,45.444314
CANA,-75.811462,45.444314
CANL,-75.811462,45.444314
CANM,-75.811462,45.444314
VER,10.99264,45.44157
MCVE,12.322565,45.438408
ISMAR,12.355084,45.437457
UVV,12.34929,45.43729
OTT,-75.6814,45.421
MTMG,-73.936569,45.40498
PAD,11.87965,45.399551
SFS,-71.904808,45.398899
GINCO,-75.717114,45.39258
DAOM,-75.7108,45.391
DAO,-75.710833,45.390972
NSAC,-63.286079,45.371334
DFB,-75.789396,45.369289
BULQ,-71.836967,45.35651
NHMR,14.44445,45.329479
EOSC,-118.066002,45.312355
MAY,39.330677,45.28064
NBM,-66.082344,45.267361
BUNS,19.679611,45.26363
PZZP,19.851128,45.25005
BDNF,-112.64254,45.205566
LINCO,-123.1995678,45.2019071
GRM,5.732911,45.187347
PAV,9.16274,45.185501
GR,5.733149,45.177598
CFIA,-75.992378,45.164894
SBLM,-113.892147,45.160148
MN,10.79762216,45.15729615
SIMF,34.210625,45.123299
ACAD,-64.36799,45.087323
RI,13.650079,45.074741
TOM,7.65576,45.074039
MRSN,7.688715,45.064697
TO,7.684908,45.054558
TOGR,7.70228,45.05386
MSPC,9.70344,45.047562
SMRS,41.945938,45.041225
PUY,3.882941,45.040628
SBG,41.926529,45.036587
KBAI,39.000771,45.030853
SPI,41.96307,45.0233
PHEO,34.364182,44.995762
MIN,-93.181801,44.984547
YELLO,-110.69471,44.975151
CSAU,34.106075,44.960129
AUR,2.445724,44.934404
MAINE,-68.671707,44.896681
RIVE,-92.621634,44.852229
CBNSA,-0.5801,44.8495
MOC,-123.237358,44.847343
BORD,-0.55869,44.844391
FER,11.623554,44.842102
UWEC,-91.52356,44.832207
PTIS,-87.379959,44.82016
BEOU,20.470509,44.812576
BEO,20.471124,44.802406
PARMA,10.327382,44.795349
UMM,-67.458078,44.711465
CBRA,7.851927,44.701022
SPAL,10.631559,44.699272
ALB,8.0369,44.69838
PLAT,-73.46574,44.69489
ITAE,8.032249,44.687973
CNR,34.395538,44.667797
MOD,10.93382,44.648022
NSPM,-63.585018,44.644482
DAL,-63.595402,44.635052
SIBS,33.587646,44.626823
CSR,40.089241,44.602871
WAVI,-69.638474,44.570686
QK,-76.324546,44.567476
OSC,-123.281784,44.566784
OSUF,-123.278687,44.565216
GAP,6.075426,44.559786
UWGB,-87.922616,44.531896
UWSP,-89.57094,44.52735
MENDE,3.499189,44.518346
HUBO,11.40149,44.512001
BOLO,11.35249,44.49918
SMCW,-73.163605,44.495849
BHSC,-103.870255,44.493618
VT,-73.198565,44.479755
BUAG,26.0725,44.47126
BUCA,26.050894,44.445229
BUCM,26.050894,44.445229
SNC,-88.090904,44.440903
BUC,26.065819,44.436527
BUCF,26.101456,44.430138
MNF,-118.425,44.425
SJFM,-72.018456,44.419163
GDOR,8.942552,44.401455
