"family","species","lon","lat"
"Malvaceae","Bombax costatum",1.392936,9.573182
"Malvaceae","Bombax costatum",1.26224,10.430716
"Malvaceae","Bombax costatum",1.434957,10.496398
"Malvaceae","Bombax costatum",1.398708,10.547651
"Malvaceae","Bombax costatum",1.264637,10.21845
"Malvaceae","Bombax costatum",1.399095,10.547065
"Malvaceae","Bombax costatum",1.262059,10.217604
"Malvaceae","Bombax costatum",1.391993,10.187793
"Malvaceae","Bombax costatum",1.399617,10.18727
"Malvaceae","Bombax costatum",1.272216,10.308651
"Malvaceae","Bombax costatum",1.401018,10.547943
"Malvaceae","Bombax costatum",1.262193,10.218057
"Malvaceae","Bombax costatum",1.150943,10.309183
"Malvaceae","Bombax costatum",0.900578,10.298009
"Malvaceae","Bombax costatum",1.149457,10.30884
"Malvaceae","Bombax costatum",0.89457,10.920641
"Malvaceae","Bombax costatum",1.260453,10.217605
"Malvaceae","Bombax costatum",1.260906,10.218177
"Malvaceae","Bombax costatum",1.2607,10.217497
"Malvaceae","Bombax costatum",1.142072,10.789706
"Malvaceae","Bombax costatum",0.890982,10.91965
"Malvaceae","Bombax costatum",1.141123,10.921055
"Malvaceae","Bombax costatum",1.015999,11.042765
"Malvaceae","Bombax costatum",1.013922,11.042715
"Malvaceae","Bombax costatum",1.137582,10.798791
"Malvaceae","Bombax costatum",1.015778,11.043017
"Malvaceae","Bombax costatum",1.019897,11.044101
"Malvaceae","Bombax costatum",1.01021,10.675021
"Malvaceae","Bombax costatum",2.477911,6.749547
"Malvaceae","Bombax costatum",2.62581,6.800648
"Malvaceae","Bombax costatum",2.689641,6.585388
"Malvaceae","Bombax costatum",2.63237,7.093963
"Malvaceae","Bombax costatum",2.588804,6.948156
"Malvaceae","Bombax costatum",2.552922,6.713304
"Malvaceae","Bombax costatum",2.546147,6.685505
"Malvaceae","Bombax costatum",2.715914,7.211302
"Malvaceae","Bombax costatum",2.447179,6.59715
"Malvaceae","Bombax costatum",2.5224,6.639661
"Malvaceae","Bombax costatum",2.615631,6.572733
"Malvaceae","Bombax costatum",2.443659,6.615363
"Malvaceae","Bombax costatum",2.555313,7.13218
"Malvaceae","Bombax costatum",2.643055,6.580584
"Malvaceae","Bombax costatum",2.473087,6.711439
"Malvaceae","Bombax costatum",2.591971,6.592795
"Malvaceae","Bombax costatum",2.525313,6.743907
"Malvaceae","Bombax costatum",2.706535,7.034459
"Malvaceae","Bombax costatum",2.543186,6.815786
"Malvaceae","Bombax costatum",2.467825,6.570043
"Malvaceae","Bombax costatum",3.25105,11.49952
"Malvaceae","Bombax costatum",2.681943,6.598238
"Malvaceae","Bombax costatum",2.598682,6.53292
"Malvaceae","Bombax costatum",2.663476,6.734143
"Malvaceae","Bombax costatum",2.657742,6.489051
"Malvaceae","Bombax costatum",2.661935,6.492583
"Malvaceae","Bombax costatum",2.652372,6.509204
"Malvaceae","Bombax costatum",2.653834,6.493407
"Malvaceae","Bombax costatum",2.479927,6.689796
"Malvaceae","Bombax costatum",2.675201,7.36343
"Malvaceae","Bombax costatum",2.639586,6.543416
"Malvaceae","Bombax costatum",2.672052,7.424563
"Malvaceae","Bombax costatum",2.710569,6.72926
"Malvaceae","Bombax costatum",2.780064,6.696744
"Malvaceae","Bombax costatum",3.153297,10.98986
"Malvaceae","Bombax costatum",2.481685,6.740054
"Malvaceae","Bombax costatum",2.411673,6.93329
"Malvaceae","Bombax costatum",2.525072,6.644451
"Malvaceae","Bombax costatum",2.903863,12.24586
"Malvaceae","Bombax costatum",2.539983,6.770976
"Malvaceae","Bombax costatum",2.478953,6.674205
"Malvaceae","Bombax costatum",2.578361,6.595617
"Malvaceae","Bombax costatum",2.447769,6.796418
"Malvaceae","Bombax costatum",2.474884,6.70896
"Malvaceae","Bombax costatum",2.620949,6.474066
"Malvaceae","Bombax costatum",2.657078,6.844602
"Malvaceae","Bombax costatum",2.891347,10.806
"Malvaceae","Bombax costatum",2.817539,12.40281
"Malvaceae","Bombax costatum",3.250469,11.10366
"Malvaceae","Bombax costatum",2.437103,11.3031
"Malvaceae","Bombax costatum",2.648575,6.475491
"Malvaceae","Bombax costatum",3.2509,10.54992
"Malvaceae","Bombax costatum",2.664461,7.247374
"Malvaceae","Bombax costatum",2.693673,7.318945
"Malvaceae","Bombax costatum",2.554862,6.55299
"Malvaceae","Bombax costatum",3.5777,10.78644
"Malvaceae","Bombax costatum",2.375599,10.34034
"Malvaceae","Bombax costatum",2.51536,6.994481
"Malvaceae","Bombax costatum",2.606895,7.003048
"Malvaceae","Bombax costatum",2.619106,7.077528
"Malvaceae","Bombax costatum",2.233561,11.36731
"Malvaceae","Bombax costatum",1.48839,10.9016
"Malvaceae","Bombax costatum",2.127556,10.73796
"Malvaceae","Bombax costatum",1.48698,10.28506
"Malvaceae","Bombax costatum",2.068969,10.76217
"Malvaceae","Bombax costatum",2.316953,11.35241
"Malvaceae","Bombax costatum",2.086778,10.58609
"Malvaceae","Bombax costatum",2.522589,11.37611
"Malvaceae","Bombax costatum",1.435461,10.81557
"Malvaceae","Bombax costatum",1.433434,10.20089
"Malvaceae","Bombax costatum",1.36893,10.05194
"Malvaceae","Bombax costatum",1.284348,10.5244
"Malvaceae","Bombax costatum",1.317825,10.64598
"Malvaceae","Bombax costatum",1.307331,10.26124
"Malvaceae","Bombax costatum",1.30215,10.59812
"Malvaceae","Bombax costatum",1.138741,10.50712
